,UMAP-x,UMAP-y,Player,Player-short,Color,file,KDE,fast,slow
2667,-1.3458005,1.8188481,toi7,toi7,#7FFFD4,toi7 - 150528980.osr,6.089419827743731e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8DDg4A4Z8dAADMDwACAAAAAP3y8gACyA8A1W2WAAEhjoz/NDjaAO877gAAAAAAAhcr6gAAAAAAAw4OAAAAAACQzhCrureIMAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAATUlEQVR4nGN0YQz5z8DIyMBopMXA9OQ1AxMDAwMDAyMTA9P33ww/tWUZWJj5+BgYuTgZbiYLMWwM7mdgYWBjZWBgYWG4EzmDQf1wOgMAtZUNURVTF6IAAAAASUVORK5CYII=
2668,-2.066102,1.172657,toi7,toi7,#7FFFD4,toi7 - 153302901.osr,7.257294598552548e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAR0lEQVR4nGN0YQz5z8DIyJB3+zpDyZIkBkYXxpD/DAwMDO+SLBlSSzcyMN2eas6QePMhg9C84wxrNcUYmO4FzmSoWxvBAAMAyTITV9odt+YAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nAXBsRFAUBRE0ftYRkyGYoz5JShBqhK5UFEikUb+sM6JFIuJQEMPlShCAhvnjJsa+TMA9z5yzQfieym7liedTOvGD0cyEwobZvo6AAAAAElFTkSuQmCC
2669,3.3908951,3.9536903,tokimu,tokim,#FFEFD5,tokimu - 127056148.osr,2.9676466195642905e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAQklEQVR4nGN0YQz5z8DAwKB6mp3hdrYaAxMDFFyt0WVg7XrDwPSkyoph57MLDGw7zzD8dnjOwNSauIjBoCMLppABAEunEVqlNc1SAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQCVf8AAAAAjt/GAFiUcwACAQQFAAABAgBehnIA03KWAAEenIn/C9wFAAro/wAJ7f0AAhLLBAD+BAAA8iMAAPkPAgCJfhOFktnVAgAAAABJRU5ErkJggg==
2670,13.857236,5.225261,Tolanorle,Tolan,#ADFF2F,Tolanorle - 168358619.osr,2.268571716654707e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/bkTgAE9EBAPElAAAC81g4ACVvyADLhJcA/Bn6AALyIAIA+Uk1AEcaMAD//QEAAbXdK/9+2U4AAqcTAA+lyQAmVBfF7BAtIAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQCVf+55c8ANXtpAAxa5gAC/rwcAEsyRwD8CQEA9PkHAALc4BcA4l0jABaYyQDs4xAAAgbmBQBrYbEA7WM2ACmU8QBOwRg12hgZDwAAAABJRU5ErkJggg==
2671,13.818008,5.2433834,Tolanorle,Tolan,#ADFF2F,Tolanorle - 168360321.osr,2.2691673021839616e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/amjUAFMcEAO4u/wAC81c4ACZmywDLhZcA/gn+AALyIQIAAi8pAEcaMAAB/QEAAW3OWP++4yUAE5gMAAa4ywAkBRaeO51gcwAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AEghcv/X4hn/Lm2O/zC0ev8BJ62A/xOmCwDkRP8ADhrzAAIAAAAA5E38ACl62QAfEe8AAvfzBwDfR50A5l4rAPttEADn0xry5jmZdgAAAABJRU5ErkJggg==
2672,14.751144,2.7384198,Tomoka Rin,Tomok,#EEE8AA,Tomoka Rin - 109699165.osr,2.2475720331605035e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAR0lEQVR4nGN0YQz5z8DEzPDfUpchZM4uBiYGBgYGhn9/GXatXsCwwd+SgeXhKl2GP4+5GdylGBgYGO4yMAmv4Wb4x/GfAQYAl+QRnfrEclUAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/ADO2ef/P4Rz/SBxu/0UGWv8CnCujAC4GCAD/+vsAAiQfAAFHLHv//wMBAP/X3gD//PsABPgZDAAD+/4AAwAAAAEGBgDULRlLxV7LcgAAAABJRU5ErkJggg==
2673,9.2119255,4.3842173,Tomoka Rin,Tomok,#EEE8AA,Tomoka Rin - 137506806.osr,2.2474379525459858e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAR0lEQVR4nGN0YQz5z8DAwMC8X4rhX5EgAxOzoCADAwMDw5cJMgzML94yMP59rvLfLjONgXPjKQYGBgYGJk8lC4ZP8iwMMAAAMTQO6WgX8DoAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUFBhv+8pp4ANXxpAPMfAQACR5TBADKDaQBbc7cAILTzAAQXBPEADeT9ALcrEAAAAtYAAqc1KQDiSQAAAAIDAAD+/QAbGxU4fQ3IFAAAAABJRU5ErkJggg==
2674,15.990648,3.137435,Tomo_mo,Tomo_,#DAA520,Tomo_mo - 161728563.osr,2.2474401649660035e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AEQBVP8nrYD/RAFU/8/hHP8AKHuO/0QBVP/95yT/RAJV/wQZx/gAAysnAEcaAAD0uCEAAgfc6gBQrMMA/EMzAAxI3gD0mBtJfrsFFgAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUBEh//ubvUAFk/YAAIwKgACvaOdAPXXEQACLCgA/tDWAAE/RYf/CMzcAP3w8QAAAQEAAgji8ADpVioAAAAAAAD//wB33xiqoOVIgwAAAABJRU5ErkJggg==
2675,15.996718,3.1765356,Tomo_mo,Tomo_,#DAA520,Tomo_mo - 161987769.osr,2.2474529522653653e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/utCYAEkzaAOqxKAAC2ps1ABJM2gC55tAAGmjwAAQctgIA7WM5AEcaAADvYCEAAg3Y7gDtNf0AAAAAABGgxwBBKBbAqo7LIQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQ5gv9hobMAnycfAAMUEwAB/eck/yXAYAAglwEAAsPPAAFARIf/B+LvAP3b3gAAAQEAAgjZ6ADrPBcAAggIAAD//wAtRRcR+sezlQAAAABJRU5ErkJggg==
2676,-1.6952298,1.7333587,ToraThePotato,ToraT,#FDF5E6,ToraThePotato - 163612318.osr,3.5114120402475617e+50,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBwcAeNbLAGmhaAABRgte//729gABvhsAjyKrAAH95yT/3fv0AGofPAACCgoABNL6+AC08jMAAAEBAP729gBlGRo/Tj1UrwAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8CCwsA8kosAA+72AACAAAAAP719QAOtdMAAQ8OAAIBBAQAAAIDANmLLQC1x7MAAv/8/AABAwMArkqSADpyaABtvhLIwLpQ9wAAAABJRU5ErkJggg==
