,UMAP-x,UMAP-y,Player,Player-short,Color,file,fast,slow
0,-0.028420594,1.7992991,- - - -,- - -,#90EE90,- - - - - 164183204.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAQklEQVR4nGN0YQz5z8DAwLDz2QUGb2MPBiYGKLAsyWD48/wFA8vtBcYMCssYGfiWnWBgYGBgYFGf8J3h34VrMIUMAFgwEPwb/PkhAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAR0lEQVR4nGN0YQ7/z8DAwMAsLMTw9/VrBiZGJkYGRmZmhs0XdjKwSEowMDEJCjLseHiKwUvaiOHP8xcMTH9fv2bwNvZggAEAMO8QngVsOowAAAAASUVORK5CYII=
1,4.2198167,2.0093322,- - - -,- - -,#90EE90,- - - - - 166251396.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAR0lEQVR4nGN0YQz5z8DAwMDEzc3AuIWfgenrDiUGOIj4w8D07LYow85nFxj+ff3K8PflKwYm1cXfGLwM3RhebdRgYGBgYAAATVAT3mL9ILQAAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0l8j6z8jNxbD1yAaGEz/+MjD91JZl+M/MxLDokwhDcUU2A0P22cj/Dx9L/HdhDPnvwhjynylT5CBDTGYhAwwAAG43FxxFHrLhAAAAAElFTkSuQmCC
2,11.001587,3.027095,- Love1yV1ruS -,- Lov,#696969,- Love1yV1ruS - - 111923499.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAQklEQVR4nGN0YQz5z8DAwPB9pyJDivxhBhYGKHj+lp9hyrJQBsbPT+X+B/kmMvw/f5WBgYGBgcl8QgHDjq1LYQoZAIE9EgtXVuxiAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBAQA+EUxAOREAwACAAAAAP/8/ADjRgMAJaHwAATghTkAF8r9ABTOAQC3uKgAAgziAAD7CwIAk4KSADOAaQDDhBVMgDo/ygAAAABJRU5ErkJggg==
3,13.139876,5.611955,- Love1yV1ruS -,- Lov,#696969,- Love1yV1ruS - - 112347953.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAQklEQVR4nGN0YQz5z8DAwLDz2QUG9+s+DCwMUGBSn8kgfPkrA+PHpzL/A6MzGZgOnmdgYGBgYAoOSWN4bsEJU8gAAHCeED5gpkn9AAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUcPYv/98vIABB8dAP0UDgAE/fLyAAABAQD/9vgAA+r/AALfhjkAAw0NALbRuwABo/0AAiSf6QAABQQA7/32ABsK8AB3gBkHaO2zgAAAAABJRU5ErkJggg==
4,12.823163,6.54946,- Nothing -,- Not,#556B2F,- Nothing - - 156637825.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwDDt4RGGPPNgBkaYALOwEMO/T18YmHY+u8DAwMDA8PftOwYGJkYGJi+XMAZmUVEGBgYGhv8/fzIAAIW2EsLUNJlLAAAAAElFTkSuQmCC,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMAiLcXw5+kzBiYGKPjz/CUDAwMDAxMTBwcDAwMDw84nZxneploysPz7+ZOBkYWFwbI4g0FkzVkGABG/EQ8pju7OAAAAAElFTkSuQmCC
5,12.665557,2.567336,- Nothing -,- Not,#556B2F,- Nothing - - 159408487.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAQEAAi0nANt3CQACAAAAAAD//wDfVBEAIZf/AAIJwRcA9082AB9+xwAF6fIAAtLTIADCl5oAAyomAP3b3gBZPxSuUpwZ1QAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAgMAAxMSAN9pJQACAAAAAAD+/QDqUCQAHb32AAQEIR8A//T2AP0HAQC6q6AABP4LCQABBgUAtnaKACGxcgBRExK20hZ4EgAAAABJRU5ErkJggg==
6,10.926563,1.5532708,- RNA -,- RNA,#008000,- RNA - - 138054999.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBQYA5HI0ABVE5QACAQQEAP/7+gDUb5YA67wbAAEfo4b/MCDjAPU+6wABBAQAAgYI+wDS5BsAAggIAP/8/ADjkBaPZGQaNwAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQDV/8CBgUA/TInANteBwAEAxMSAAD7+gDkQQsAIqv5AATqTiQA9B4BAAP4AACHnJgABAP6AAAWzvwAwpeaAC7KXgCLAhSs7ZF/3AAAAABJRU5ErkJggg==
7,11.454462,1.155319,- RNA -,- RNA,#008000,- RNA - - 138055428.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBAQA7GE1APoNAQACAAAAAP/8/AAYW+AABPb/AAT0uCIAxS6uAEcaAAAWBOsAAiYQ6wAsyFsAAAEBAP/8/ACrUhS2R+JO+QAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQCVf8A//8A+E02AORBAgACAAECAAAAAADqMQQAILT7AAQCLCUAAf3/ACtF2gCiZrYABAAAAAAA+/wArCO8ACjEYwCQPBNgmEYXAgAAAABJRU5ErkJggg==
8,16.073938,4.3409095,- SB DangYang -,- SB ,#6A5ACD,- SB DangYang - - 107503307.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAA+E02AO4nBAACAxcWAAAAAAAH7fkAE9f7AAK2z7oABBkYAAHG0QD4EQMAAUQCVf/fpi4AFa8JAAyqyABTSxLlfZzl4gAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQDV/8BBQQA/DkrAPwLAwAEAgYFAP75+QAG5/IAB/T2AAICExIAAxYVANlpFAAvtOQAAv8OCwD/8fIA3VaYAKu7OwCgZhXAp5cRzAAAAABJRU5ErkJggg==
9,11.440712,2.9512944,--Madara uchiha,--Mad,#CD853F,--Madara uchiha - 141205080.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAA5K0rANU5pQAC7185AAAAAADSOKMAPmlmAAHN4B3/ZIVwABOcxwADJCEAADlVi/+63if/PUyJ/0QBVP/O2xesxPHs5AAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMCkp8HwsI6FgYkBCl7YCTEopD5lYLq9wJiBWVud4Z/Le4ZtV/czMElvZGG4GyHEsNpwDoPipjQGAPk7EUOc/7vRAAAAAElFTkSuQmCC
