,UMAP-x,UMAP-y,Player,Player-short,Color,file,fast,slow
505,13.914479,3.7581105,Charlotte,Charl,#D2B48C,Charlotte - 113009837.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAPUlEQVR4nGN0YQz5z8DAwMAiI83w7/0HBhYGKLjZJcrA9EiOgYXJQIth+7ZlDO5SEAkmxofPGWyz02EKGQDnhAze5oQXEQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAAAgsLAP73+AAEAAAAAAACAwD5OykAA/n9AAQCCgoA90ArAAbx+wCHpJoABP729gAJ5PMAt7ioAEoxTABaIBTdKjVK5wAAAABJRU5ErkJggg==
506,12.226836,1.7841227,Charlotte,Charl,#D2B48C,Charlotte - 122394359.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAPUlEQVR4nGN0YQz5zwAFzMJCDEwwzs5nFxj+//jJwPImzZLhHwsjg7sUAwMDw1cGFomdTxj+vXnH8A+qEgDsuxCaRxPgdgAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwMAiLcXA8O8fAxMDFHzVl2b49+kzAxMTNzfDy1wrhgNzZjPcqdVjYGFkZWGQnH2OQVkxg+E/538GABdkEV5n+IYxAAAAAElFTkSuQmCC
507,3.2076166,0.89637595,chayleaf,chayl,#D8BFD8,chayleaf - 167259288.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAAXtnjAJ5pUAACAyckAAAAAACJ10YAcpqlAAH95yT/kO8gALcrEAADJyQAAjtvZwDl+REAAAAAAP3Z3ACUgRRNRs/+JgAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAASElEQVR4nGN0YQz5z8DAwPB9pyLDz6USDEwMUHBIdz3DR58vDAwKE3r+H72v+N+FMeS/C2PIfybRMwwMbY+9GRgYGRkYGBgYALaQE7qkkzr/AAAAAElFTkSuQmCC
508,5.390585,5.571788,CheeseStingy,Chees,#8FBC8F,CheeseStingy - 166547510.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8CLCgADZjrAO59HwACAAAAAP7U2ADdoyYAXpeyAAL5SjUAuebQABSZxwClKBwAAieA1AA3d2kAAyckAAAAAADwIhQrdyqTngAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8AAAAA2pg2ABPMAwACAxERAAAAAAAC9gIAzIKXAAQUtv0Ayb45AB27/AAp8GoAAuh0IgAeOOQA+G3vAP0K/wBbbxUgsBoB0QAAAABJRU5ErkJggg==
509,5.2981324,3.8784688,CheeseStingy,Chees,#8FBC8F,CheeseStingy - 167066201.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAR0lEQVR4nGN0YQz5z8DEzGB/4QvDkVBdBiYGBgYGhn9/GQ4lmjBs27+GgdEouff/v8C3DCK+txgYGBgYmAzSLzF8/MTNAAMAyTYTT5QsFP8AAAAASUVORK5CYII=,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQDV/8A//4A36YuABC5CgAEAP/+AAABAgAZpQcAwZqXAAEfo4b/GrIFAAH9AAD0GwMAAiOa/gBmhK0A8h8DAP4FAAD/TRVxhSOUiAAAAABJRU5ErkJggg==
510,9.459236,5.116227,Chernobog,Chern,#008000,Chernobog - 160568453.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BBQYA2pstACmC7QACAAAAAP/7+gAL1QcA7ZQEAAL6SDUAuebQABqLxgAPStwAAuY7BAA6cmgAAQcHAAAAAADNtRMU3kMbpAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUcUZv//+vsA52AtABjG8QACAP7/AP/39wAQ3vsA40YPAAT2OSQA9hUEAP9V7QBvI8QAAvwJAgAS1vQAyzKqAJqOTwAOQxwGN+9K+wAAAABJRU5ErkJggg==
511,14.472391,4.860192,Chernobog,Chern,#008000,Chernobog - 166909376.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8DKiYA31YUAB279gACAAAAAP3W2gD5Ff0AuqugAAIBNCwAquTHACVryQBHGjAAAt50AgA2oXIAAiwoAAAAAADcvxNamL1AGwAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUUGWv8AAgEAAh0aAADt8AACAP/+AP/7/AD+EAsAAAYFAAQDGxkAAPz9AOgzDQDNsqQAAv7r7QAAAAAAyH6UADl0aACxuBUeqafZRQAAAABJRU5ErkJggg==
512,0.20885877,3.9643416,Chieri_,Chier,#808080,Chieri_ - 161534578.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8DKiYA2WUSAGtFugAEAysnAP3V2QBeQvoAvFMyAAH95yT/SkBTAP3a3QAEHRwAAjGEagDYbRQAAgoKAPzj5AD0wBav84mIxAAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AVXGZv/v+AoAsiivAC2hbgABJn+O/yGt7QD8DggA9X/zAAH95yT/LZBqABqMyQADKSQAAj7TUQA4U9EAAwwLAP4IBADENBhxw6udhAAAAABJRU5ErkJggg==
513,-0.093226075,4.137176,Chieri_,Chier,#808080,Chieri_ - 161603894.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/eiDkA/Qn/AN5VmAAEB8EYACI/xwAjywgAOnJoAALz+gcA7WQ5AN01+AAP1/EABOq/GwADTO8A/tgwAADE0ABM1xkglCd7gQAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/ASd8jv8JOOwA8tcTAB65+gACA/sAABdy/AAE9QEA+BMFAAH95yT/O9JSAAx+CwAC0tsAAjd3aQDo1hYAAvj7AP75+QBZMxoYEs8VyAAAAABJRU5ErkJggg==
514,3.229105,5.619035,chika_Chan,chika,#EEE8AA,chika_Chan - 125561524.osr,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP8BNS0A+w4GAO5u9QAC53M6AP/L0wAXgt4A9dYRAAL6DgAAuebQAO077wAO3gAABAH9AABAZGUA8mgEABWYxwBTsRg8yk6J/wAAAABJRU5ErkJggg==,iVBORw0KGgoAAAANSUhEUgAAAAQAAAAECAYAAACp8Z5+AAAAT0lEQVR4nAFEALv/AUQBVP/fhzkAACD2APz6AwAC4IU5ACF5xwDaP6EACtcIAAIG7wEAtOXNAEcaMAAH7v8AASOog//79QUAAvQEACRwyABDvhhoDCy0IwAAAABJRU5ErkJggg==
